DokumentNr;Artikel;Bezeichnung;Klasse;KlasseBezeichnung;Gruppe;GruppeBezeichnung;Untergruppe;UntergruppeBezeichnung;Preis;Menge;Lagereinheit;Rechnungseinheit;Einkaufspreis;Rabatt;TotalExklMwSt;SteuerCode;Steuerbetrag;TotalInklMwSt;Waehrung;Ertragskonto;Kostenstelle;Gewicht;DokumentTyp;DokumentTypBezeichnung;DatumBelegbeiKasse;Adresse;Name;Land;Region;Sprache;Checkout;VoucherBon;VoucherKueche;VoucherGruppe
2169612;304005;Zopfbrötli;7;HofBäckerei;8;Brot;;;1.80;1.00;STK;STK;0.00;0.00;1.76;11;0.04;1.80;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:38:00;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169612;210008;Spitzbueb (Palme);3;Trockenprodukte;14;Süsswaren;FREMD;Fremd;2.60;1.00;STK;STK;0.00;0.00;2.54;11;0.06;2.60;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:38:00;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169612;500131;Heidelbeeren 250g;4;Obst;19;Heidelbeeren;EIGEN;Eigen;6.00;1.00;SCH;SCH;0.00;0.00;5.85;11;0.15;6.00;CHF;3000;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:38:00;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169613;202001;Knobliwurst;2;Frischprodukte;7;Fleisch;FREMD;Fremd;6.30;1.00;STK;STK;0.00;0.00;6.15;11;0.15;6.30;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:38:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169613;202001;Knobliwurst;2;Frischprodukte;7;Fleisch;FREMD;Fremd;6.30;1.00;STK;STK;0.00;0.00;6.15;11;0.15;6.30;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:38:16;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169614;2110091;Aprikosen Wallis;4;Obst;22;Obst divers;FREMD;Fremd;10.50;0.04;KG;KG;0.00;0.00;0.34;11;0.01;0.35;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:39:04;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169614;2110060;Zwetschgen 1. Kl.;4;Obst;17;Zwetschgen;EIGEN;Eigen;4.50;0.03;KG;KG;0.00;0.00;0.10;11;0.00;0.10;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:39:04;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169614;2110027;Apfel-Birnen 3.10;4;Obst;16;Äpfel/Birnen;;;3.10;1.03;KG;KG;0.00;0.00;2.49;11;0.06;2.55;CHF;3000;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:39:04;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169614;2110060;Zwetschgen 1. Kl.;4;Obst;17;Zwetschgen;EIGEN;Eigen;4.50;0.22;KG;KG;0.00;0.00;0.78;11;0.02;0.80;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:39:04;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169614;500131;Heidelbeeren 250g;4;Obst;19;Heidelbeeren;EIGEN;Eigen;6.00;1.00;SCH;SCH;0.00;0.00;4.68;11;0.12;4.80;CHF;3000;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:39:04;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169607;7640105561100;Apfelschorli 5dl;9;Getränke;41;Getränke alkoholfrei;EIGEN;Eigen;4.50;1.00;FL;FL;0.00;0.00;4.17;10;0.33;4.50;CHF;3210;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:30:33;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169607;304104;Wähen süss;7;HofBäckerei;27;Gebäck;;;5.00;1.00; ; ;0.00;0.00;4.63;10;0.37;5.00;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:30:33;1000001;Laufkunde;CH;ZH;D;0;0;;0
